,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NFKBIE,4940.68103090202,3.53274655916803,0.212917841427857,16.5920645046791,7.95386182344285e-62,5.62470595281133e-59
MIR3945,675.164064272391,4.11393541837499,0.25266743380646,16.2820168646119,1.32431339019245e-59,8.99049874333852e-57
CDK2,916.013268288045,2.58739544805985,0.160982261838908,16.0725499723008,3.97396998237898e-58,2.5940853284975398e-55
IL1A,34313.2027487413,9.69183622482483,0.606748106361866,15.973409926136,1.9578355797258398e-57,1.23068094292989e-54
SYN2,452.727953784332,4.62714203530627,0.293115145593503,15.7860898860657,3.8789108113585196e-56,2.35117408179917e-53
GBP1,13018.7963839323,3.10083043109053,0.198236122083109,15.6421059820295,3.7608180537827496e-55,2.20098634513106e-52
EGR2,1914.71097773752,4.30995157335484,0.276857792960643,15.5673839889619,1.2126632013128001e-54,6.86043995089359e-52
TMEM52B,468.186433944265,3.47839007145143,0.225584572618271,15.4194501471405,1.2113129436193701e-53,6.63174299326063e-51
GBP1P1,390.249687571697,3.04994821451441,0.20098702631113,15.1748511856336,5.18953061387864e-52,2.7523972993358897e-49
CD83,7401.72560978144,2.59947500833534,0.172287835861813,15.0879776005794,1.94307267537164e-51,9.993281650426479e-49
CTDSPL,769.21222858693,5.71947860396754,0.379230233745377,15.0818107182027,2.13336946122678e-51,1.06492783811591e-48
ADPGK-AS1,556.93594075949,4.59185283472402,0.306480861396911,14.9825108615095,9.553835379824e-51,4.63279125903923e-48
PLEK,223262.454634321,3.31050977454877,0.223101335268443,14.8385923847809,8.24682867491951e-50,3.88792156307594e-47
RNF19B,29002.9127368249,2.12655372912869,0.146673309922569,14.4985732595203,1.23694249176464e-47,5.67388864060256e-45
NLRP3,10859.6528235257,4.5084233494041,0.312185581714812,14.4414848521821,2.8366449287485804e-47,1.2669352034400202e-44
ZNF155,421.560306466166,3.26053017635357,0.225914767916332,14.4325676733144,3.2283507627838203e-47,1.40491202938377e-44
TNFAIP6,12327.0548094162,3.41019912181522,0.237036915372993,14.3867849294657,6.2640895799000305e-47,2.6578532087515804e-44
JUNB,136756.825065914,3.37458874801077,0.234773061550457,14.3738328653414,7.55326647482213e-47,3.1266838685532e-44
CAMK1G,244.713544603637,7.66198112721378,0.535813580082886,14.2997143260694,2.1970959104343803e-46,8.878359950450531e-44
TRAF3IP3,2616.908844585,-2.30933288253036,0.161629482148117,-14.2878195972569,2.6064291368921503e-46,1.00537080253031e-43
LOC731424,23763.158620493,4.05176166567958,0.283563176136373,14.2887441200439,2.57206019365763e-46,1.00537080253031e-43
IL23A,304.13752688019,5.66961860876111,0.398825891832166,14.2157736618238,7.31386448187099e-46,2.7584646219180996e-43
GPR84,4472.9944522972,5.43485218503519,0.385525817706017,14.097245723708,3.94883178332143e-45,1.4569472397072e-42
IER3,28785.2244451232,3.6891895783238,0.262670953095171,14.0449087912173,8.277488665088591e-45,2.9890539919975196e-42
OR2B11,125.512056261326,5.93810722676302,0.43737952948077,13.5765549746061,5.5160503136125394e-42,1.9503834567215e-39
APLP1,653.994785581507,3.87829909895322,0.286074011561024,13.5569780623918,7.204351463557629e-42,2.49535210284694e-39
ENO3,74.0559652163927,4.54012386975207,0.339309376186109,13.3804845618585,7.86330604589564e-41,2.66912060421882e-38
LINC00528,2585.59777442071,2.4453506375625,0.183278299630264,13.3422813420662,1.31376616798356e-40,4.37200772608176e-38
CCL4L2,1657.62052069326,5.41094861086361,0.417502038209645,12.9602926828026,2.05462085940934e-38,6.579438721867049e-36
LSMEM1,2702.79300779519,-4.20367183793022,0.324341731783156,-12.9606258646379,2.04571576272009e-38,6.579438721867049e-36
FAM86EP,302.760844349394,-2.57384156191468,0.199603201475963,-12.894790979716,4.815670491772181e-38,1.51354739974736e-35
LINC01465,70.0055228297033,5.14613308503017,0.399584115380747,12.878722869468,5.93088476872661e-38,1.83016320536051e-35
ZNF226,277.024908620355,3.06871966447869,0.242846286992374,12.636469358805,1.3288829154469099e-36,4.02746443588659e-34
CXCL2,3829.7241238245,4.32425629147533,0.343574165252614,12.5860926949962,2.51833707975438e-36,7.4984591083493595e-34
HCG26,1009.03853123542,2.251021693813,0.185008833932303,12.1671038402235,4.65300580180712e-34,1.3615657666943201e-31
TMEM170B,6412.75448861501,-2.85962877738971,0.236217617054903,-12.1059081580907,9.82756530905294e-34,2.82700743093638e-31
KCNJ5,661.546665852044,1.9546371813846,0.162102788138451,12.0580108697153,1.75981916148855e-33,4.977941801463941e-31
PTX3,1315.71106386636,3.67435413664887,0.306025012415434,12.0067118293614,3.27614070009471e-33,9.115190157706141e-31
GPR132,5429.76988732179,2.21164117514819,0.186259490034779,11.8739784734471,1.6159594164239e-32,4.4235585831526495e-30
LINC01093,466.631376102185,4.38973766084821,0.370998492816194,11.8322250517148,2.65995852719373e-32,7.165843829132059e-30
CD274,994.839046016608,3.03184889946029,0.256384986041141,11.8253761512142,2.88607029359454e-32,7.65349765982603e-30
LINC01262,170.365218365883,4.77593056501386,0.40515153505031,11.7880105388736,4.50046655009429e-32,1.17510643520308e-29
WSB1,37461.3111942707,2.92920089801448,0.248938164709516,11.7667811258773,5.78915144073698e-32,1.48868906442709e-29
NXT1,531.577014973985,3.50280084441316,0.298587064853419,11.7312544873059,8.81425528200389e-32,2.23276926337567e-29
CCDC85B,173.593945617109,3.78458968912739,0.323283893478633,11.7067065989711,1.1776568264806802e-31,2.93929289103383e-29
CCL3L1,100.155993311176,6.5170217348247,0.558102746540659,11.6771002744921,1.66892124816583e-31,4.10506252519862e-29
VSIG1,749.006002241529,1.42757500553159,0.122971913455098,11.6089517144323,3.7113762438322604e-31,8.99849680147445e-29
LINC01136,2026.8766837795,2.57516674560872,0.223045782754083,11.5454626122564,7.782162861306851e-31,1.8602657476352098e-28
CXCL1,66641.5645888369,3.96104178160894,0.34660264791876,11.4281925005298,3.02336590286567e-30,7.1267452921439e-28
ICAM4,4035.6653661338,6.91501508183811,0.60555749324708,11.4192544208459,3.3509629652423495e-30,7.79075937617714e-28
LINC00536,277.007334460487,2.08519580097789,0.18266636371423,11.4153244121072,3.5059338904866e-30,8.04090675531602e-28
