,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FAM207A,127.870378701399,-1.62392236545688,0.252951179067938,-6.41990431292166,1.36360029063536e-10,1.49524787751802e-08
CAMK1G,244.713544603637,3.37092254108401,0.527197459156001,6.39404170589246,1.61557332242899e-10,1.75861642024697e-08
RLIM,16515.6896090596,1.45938651900628,0.22884456959201,6.37719532348141,1.80360377142228e-10,1.94906833646525e-08
MTMR9LP,39.8855214633138,2.53278128751815,0.397457461855392,6.3724587675238,1.86021441298066e-10,1.99578255689069e-08
PDYN,35.2477168019909,6.72472001219846,1.05551793646535,6.37101443744077,1.87781962432379e-10,2.00028028982433e-08
BEST1,2896.28744652326,-0.894119040991394,0.140810802886978,-6.34979009180893,2.15608922261104e-10,2.28040840970201e-08
ZNF473,270.927059805244,-1.17899700186162,0.186159439400916,-6.33326467707346,2.40027283366573e-10,2.52079357524346e-08
ZNF230,1133.01800456082,1.52406693391612,0.240746539864638,6.3305870762381,2.44230141037711e-10,2.54699586943733e-08
CD69,4943.87198007745,5.71726531502833,0.906700499779193,6.30557203444869,2.87131420118871e-10,2.97360476960606e-08
TIPARP,2788.8802671613,1.51866941504443,0.240951372650036,6.30280457978627,2.92307353804757e-10,2.98573942965092e-08
LOC286059,454.806583797796,-2.05782015944292,0.326471830940256,-6.30320892775433,2.9154546281042004e-10,2.98573942965092e-08
SRFBP1,281.87159554633,0.922004752777292,0.146760148029936,6.28239181517601,3.33403274788935e-10,3.38234220199142e-08
KIAA0226L,14512.9240547555,-1.35484372435132,0.215825078329957,-6.277508317546,3.44041864740505e-10,3.46668670869942e-08
ARRDC3,4159.27655644394,-1.4216823867286,0.228428980663149,-6.22373913590705,4.854439757224401e-10,4.85867517446225e-08
CSRNP1,38022.3724103002,2.0082697027713,0.322813982704501,6.22113604233072,4.93567961826395e-10,4.90705267647802e-08
DUSP5,1194.39001201563,1.71655228351919,0.277446769317738,6.1869607915793,6.133521262357381e-10,6.05756308513481e-08
TMEM52B,468.186433944265,1.42486517383478,0.231246378995265,6.16167561207068,7.19791862367634e-10,7.06201055492666e-08
FBXW2,2826.84113433215,-0.997768768024948,0.162150699120137,-6.15334237495767,7.58667772432872e-10,7.39477940541923e-08
CLEC4D,2581.66384197228,1.34245256470829,0.218437278698396,6.14571181580165,7.96057020565487e-10,7.70883009590462e-08
LOC101927905,196.752016591965,-1.68244191818084,0.274080050617637,-6.1385055730597,8.33013908350437e-10,8.01466865498714e-08
CDKN1A,2004.85359171355,2.26805762686834,0.370930371045223,6.11451044161552,9.68538286834823e-10,9.2588535074152e-08
CLK1,10832.9413610524,-0.966905793044843,0.158946542218686,-6.08321376198627,1.17797125840846e-09,1.11892263545512e-07
CCRL2,1398.39465652411,1.49839370342121,0.247168271993464,6.0622412874288,1.3423762694002e-09,1.26701628516235e-07
ALG1L2,327.608253807543,-1.83630327897321,0.30305892344557,-6.05922854240923,1.36775942461219e-09,1.28285511315985e-07
KRT8,156.409293823255,1.51224199216453,0.250017175871492,6.04855241202236,1.46153076526412e-09,1.36223801889899e-07
C5AR1,89767.8431012128,-0.920445664051357,0.15249175583136,-6.03603558128924,1.57946440621023e-09,1.46301569501945e-07
