,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LYPD3,142.269553546411,3.15546196185149,0.561330065410052,5.6214020169157,1.89413918545293e-08,1.72748073705002e-06
FAM207A,127.870378701399,-1.38856314832654,0.247036046452101,-5.62089285458093,1.89973071062968e-08,1.72748073705002e-06
HMGA1,1098.13966834257,1.27022927332597,0.226462916517873,5.60899458885896,2.03505385894573e-08,1.83931867869441e-06
CARD17,78.859677771834,1.51448430473964,0.270899631644247,5.59057351074032,2.26320844991549e-08,2.03320648274637e-06
FAS-AS1,74.0412132157777,2.25082132830785,0.402718359185033,5.58907056748731,2.28288174974376e-08,2.03859973257058e-06
AP1AR,115.019757242272,1.62934080144259,0.291780289399618,5.58413594281919,2.34864944025635e-08,2.08484577991327e-06
C2orf61,103.328329085561,-1.84799342372925,0.333850394441467,-5.53539386053728,3.10529739951006e-08,2.72407647758197e-06
LOC101927472,101.701574604373,1.44342007436568,0.260867091661433,5.53316275032125,3.14507391487158e-08,2.74283551418011e-06
DUSP5,1194.39001201563,1.5271250476128,0.277417386646221,5.50479213316315,3.69604103377008e-08,3.20459650794263e-06
C6orf222,18.5596972125413,3.11852958434379,0.566782497036299,5.50216282374731,3.75160233190137e-08,3.23396795234943e-06
SIRT6,390.901619025926,1.05237246653622,0.191555998904325,5.49381106598411,3.93351307415663e-08,3.37129198131596e-06
MIR27A,671.135914322145,1.30151827717291,0.237114745131183,5.48898077364548,4.04259619324428e-08,3.4449849731344e-06
PTX3,1315.71106386636,1.70054592560447,0.310432253247758,5.47799369367477,4.30175460676012e-08,3.64500377560305e-06
SLC43A3,558.496953087128,1.40080398666785,0.255861764071293,5.47484690317985,4.37890022279682e-08,3.68940898432593e-06
CCM2L,45.1290731663704,3.68899138701763,0.675508943419802,5.46105484309638,4.73313790946309e-08,3.96546548560804e-06
HEY1,211.161788601108,-1.68459763626103,0.308649423218872,-5.45796463409047,4.81623554832206e-08,4.01254305766072e-06
LOC101927730,90.9816309265675,1.97148875962622,0.361960269927586,5.44669932979283,5.13130933619686e-08,4.2512897850391e-06
PDYN,35.2477168019909,5.78387184070982,1.06211020039051,5.44564192923035,5.16188844510644e-08,4.25299681667803e-06
HIPK1-AS1,376.974039561348,1.27182865390941,0.234219681898312,5.43006737777737,5.63327797419879e-08,4.61588321039706e-06
RHOB,4348.71856547702,-1.87108566039269,0.344842930287368,-5.42590697403441,5.76609861480312e-08,4.69889774003054e-06
LOC101927243,34.7638189373042,2.40416739701279,0.444681844692355,5.4064887642896,6.42722572046046e-08,5.20919658528407e-06
IRAK2,2150.0877983021,1.76372600094225,0.326961611110882,5.39429076994643,6.87947372556993e-08,5.54559954969862e-06
LINC01531,678.96249528436,1.18512639062745,0.219810151481016,5.39159080070878,6.98366549562577e-08,5.59932277076705e-06
LOC286059,454.806583797796,-1.74044000520951,0.324505416371088,-5.3633619576298,8.16870841113658e-08,6.51443575054972e-06
LOC284454,12548.9899129955,1.3228466377533,0.247386021152921,5.34729744060835,8.92772363813172e-08,7.0818692880563e-06
NSUN6,135.388768942451,1.08121810374939,0.203522095962775,5.31253424172256,1.08111103864998e-07,8.53048090972866e-06
MIR24-2,277.22178041304,1.37740149523508,0.259377184280444,5.31041887533871,1.09373561962656e-07,8.58467331341627e-06
MBD4,1944.59146831636,-0.984598712588825,0.185709811246366,-5.3018131135928,1.14658185973195e-07,8.9523430754883e-06
HSP90AB1,2991.81161649212,1.38129280060144,0.260743080350315,5.29752428615032,1.17383297004574e-07,9.11326856888508e-06
MEI1,99.5221067525594,1.57417004998192,0.297743189378712,5.28700607146272,1.24334514515544e-07,9.55773512871296e-06
SFR1,167.53968411649,1.27417493926319,0.241061948877986,5.28567426420383,1.25242580595998e-07,9.5781672021955e-06
MAPK6,1387.87555274707,1.65072386188044,0.312862602944722,5.27619423460495,1.31894291194876e-07,1.00354059417815e-05
CLOCK,218.434979295695,1.33508249669599,0.254593250415857,5.2439822914207,1.57147289189895e-07,1.18961295618726e-05
TKTL1,228.491865925401,-1.49604366955016,0.285922012473275,-5.23234869749665,1.67369637739938e-07,1.26059768061399e-05
IL17C,15.8736334496074,3.74703691284814,0.716385807185998,5.23047340589661,1.6907649947274e-07,1.26705418926481e-05
ZNF230,1133.01800456082,-1.27498999953721,0.244636559711918,-5.21177211222489,1.87045231041782e-07,1.39470276526305e-05
SLC11A2,425.556631432246,1.37484319937532,0.263968598372779,5.20835890272732,1.90518143790042e-07,1.41353088474671e-05
GPR35,103.687403186419,2.09601249652442,0.40392155391259,5.18915734063056,2.11247847592687e-07,1.55957383720284e-05
MIR23A,479.122899411633,1.48961567348024,0.288947444335701,5.15531700550219,2.5320220713894e-07,1.8581995715433e-05
LOC646736,188.258779568449,1.09251679406158,0.211950370461263,5.15458780130443,2.541894404847e-07,1.8581995715433e-05
MAN1B1-AS1,407.170289783048,0.731551099856665,0.141954319238297,5.153426142875,2.55769836365571e-07,1.86063198522915e-05
LOC440600,201.207418899624,1.09913001774825,0.214494959983392,5.1242696697086,2.98693231501484e-07,2.15188993303461e-05
LOC101927851,351.163324402726,1.09910086270884,0.214971516329471,5.11277438739525,3.17461372118916e-07,2.26604422607886e-05
DYX1C1,246.647871388306,1.23121411534219,0.240814603900679,5.11270535673159,3.17577444679462e-07,2.26604422607886e-05
VNN3,8039.26221671436,-1.17767821757323,0.231324113893253,-5.09103092519221,3.56121932479582e-07,2.52897446622286e-05
SMIM15,72.3071283560931,-1.22203526540623,0.240110675683166,-5.08946660505321,3.59072084830746e-07,2.53783981093882e-05
SEC24B-AS1,282.2877427881,0.860736739178755,0.169185098548693,5.08754462752538,3.62729047575154e-07,2.55159353136239e-05
OASL,1179.07920909212,-0.774172222027693,0.152461729661767,-5.07781345354782,3.81803285363362e-07,2.67316074864968e-05
WSB1,37461.3111942707,1.27870735308864,0.251954009095711,5.07516176336328,3.87166483612157e-07,2.69804381780752e-05
BRD2,26271.9185104542,1.01041778381272,0.199189426896336,5.07264767792404,3.92318459248875e-07,2.72123031757139e-05
TSPAN16,548.523910472331,-1.01107808709689,0.199993431723052,-5.05555646695944,4.29137627907214e-07,2.94918407602778e-05
MARCKS,26597.0215250698,1.39136895095991,0.27516813516398,5.05643195252517,4.27173192948754e-07,2.94918407602778e-05
FOXL2NB,258.382416301502,0.943785881242815,0.186763699731232,5.05336895018143,4.3408419823185e-07,2.96949433405119e-05
SLA,25140.6954668081,-0.835396563987738,0.165695526634068,-5.04175689566247,4.61277066315871e-07,3.14110725569342e-05
CASP1P2,68.5481249763542,2.00789409473076,0.399618194582398,5.0245312199286,5.04663704190143e-07,3.39011253179622e-05
FAM86EP,302.760844349394,-0.963992063533197,0.191831229975075,-5.02520920946213,5.02884020041335e-07,3.39011253179622e-05
