,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SNORD89,731.587885218858,-1.14830461036523,0.190661490685024,-6.02274012565152,1.71488672897476e-09,1.82672184208576e-07
LSMEM1,2702.79300779519,-1.96141059887907,0.325733019141803,-6.02152831802781,1.7277778592320101e-09,1.8274007953707e-07
DNAAF1,14.4499292886418,5.48056390846784,0.914644362066795,5.99201628060503,2.0725517130509604e-09,2.17661716174148e-07
LACC1,276.244522481061,2.36125262954843,0.394611339287071,5.98374246876536,2.1806801252733303e-09,2.27415962994414e-07
BCL3,26537.6921471468,1.35561495210332,0.227914400200894,5.94791268523804,2.7158338958608702e-09,2.81258547840092e-07
CXCL1,66641.5645888369,2.08476626181504,0.350706807726258,5.94447046902576,2.7735196254539704e-09,2.85251711547552e-07
NR4A1,888.00125602825,1.70106179831028,0.287941959737925,5.90765513945424,3.4701148724039e-09,3.54450843096982e-07
ETS2,40818.3785611761,1.76854293523617,0.299432664524378,5.90631265311465,3.4984973232427105e-09,3.54918983547745e-07
ATP8B1,241.734701688875,1.06978606006217,0.181458604754741,5.89548267224963,3.73587713537727e-09,3.73913662549538e-07
ZNF501,270.294746818415,1.01279867228927,0.171773111112803,5.89614210121725,3.7209856108539404e-09,3.73913662549538e-07
FUT4,463.707340232058,1.41945998873609,0.244290456543406,5.81054212604444,6.227086053297681e-09,6.19096895418856e-07
AZIN1-AS1,16.0772138619963,5.88701393023577,1.01406714948791,5.80534921499884,6.42319870368313e-09,6.34365313033288e-07
LINC00927,102.723435750586,1.34183279697163,0.231218986363306,5.80329850102903,6.502288233419491e-09,6.37951476480164e-07
LINC01277,62.7582011424404,2.44632248421765,0.422535429641747,5.78962688712707,7.0542949283449504e-09,6.87586276251034e-07
BCL2L15,843.010032633657,0.68421424483023,0.118343346628196,5.78160297409753,7.3992167355928904e-09,7.16522851804524e-07
HMGCS1,1338.5782784413,1.11498169671198,0.192960164820271,5.77829987733744,7.54592271088328e-09,7.26015131531628e-07
TMEM52B,468.186433944265,1.33281093459538,0.230796833991276,5.77482330041736,7.703388316336e-09,7.3641429462512e-07
SERPINB9,3544.87641915516,1.4735826697856,0.255312083043394,5.77169185343706,7.84795362389694e-09,7.45455620338695e-07
VILL,342.329267700989,3.98839100018678,0.700476495068988,5.69382560052064,1.24223974995616e-08,1.16512713151548e-06
LINC00536,277.007334460487,1.06151112311879,0.18694386690898,5.67823454532279,1.36092025711144e-08,1.26846273714393e-06
THBD,10595.3356710505,-2.17391033676635,0.38590536668866,-5.63327314004474,1.76821070047797e-08,1.63784634634957e-06
THUMPD3-AS1,282.988314141086,1.24540690150719,0.221160078241333,5.63124643204452,1.78911870971331e-08,1.64698316777497e-06
