,UT_1,UT_2,UT_3,UT_5,UT_6,GMCSF_1,GMCSF_2,GMCSF_4,TNF_1,TNF_2,TNF_4,GMT_1,GMT_2,GMT_3
TULP2,20.8279071779769,41.6727659533665,18.780846066028,52.306617020612,20.8279071779769,118.221894245138,56.1420032858571,95.3348374240681,1230.96005624963,250.226526491481,1581.94144670741,2880.78418142214,4217.76732246871,323.410918644457
ANKRD65,72.4017725710624,85.726832818354,96.4083431389437,92.2014944092144,72.4017725710624,59.6962040247725,66.2187731063955,81.1360318502707,70.7577404596046,83.4088421638269,91.6084054929763,77.4450104902258,81.7696572865298,80.0360354221132
IRG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.6643819228859,46.9908969937053,93.3048574465499,92.7638037740067,397.245835060912,44.1014889060624
C3orf33,147.778960453264,138.71077810192,202.833137513102,173.764354848135,147.778960453264,184.941181096354,221.688936051846,192.698075644393,260.568187089338,246.702209216953,250.226663152111,265.525750252203,424.870719279334,460.615550796652
FAM225B,14.8770765556978,20.8363829766833,17.5287896616261,66.4914623143373,14.8770765556978,2.34102760881461,2.87907709158241,25.3550099532096,1.12313873745404,4.69908969937053,22.0538753964573,5.10626442792698,3.31498610621067,6.53355391200924
AHR,503.836992686297,323.261598752543,287.972973012429,533.704804176414,503.836992686297,1063.99704820624,562.859571404362,782.962707355112,540.229732715394,377.101948374485,583.57947202933,1938.67839446961,836.481494133825,573.319355778811
EDC4,685.33732666581,1014.43418835052,714.924206913465,807.649628911484,685.33732666581,512.6850463304,639.155114331296,799.189913725167,575.047033576469,581.512350297103,811.752259784984,958.275624307629,803.331633071719,658.255556634931
CSNK2B,1886.41330726248,1990.76756211511,1992.02173940337,2094.0377864862,1886.41330726248,1910.27852879272,2340.6896754565,2162.27524880971,1836.33183573736,1846.74225185262,1988.2416895883,2073.14335773835,1442.57145388601,1973.13328142679
CHMP1B2P,1.98361020742637,3.57195136743142,2.50411280880373,3.54621132343132,1.98361020742637,35.1154141322191,14.3953854579121,2.02840079625677,10.1082486370864,10.5729518235837,5.0893558607209,10.212528855854,14.3649397935796,35.9345465160508
AZIN1,3912.67113414851,3130.22004832573,3721.11163388235,3381.31249689177,3912.67113414851,4229.06637532359,5955.37096393822,3252.54067679773,10263.241782855,24999.1572006512,6150.48655768121,4598.19111734824,4032.68059820528,14306.8496788222
MIS18A,12.8934663482714,6.5485775069576,2.50411280880373,5.31931698514699,12.8934663482714,11.705138044073,7.19769272895603,2.02840079625677,101.082486370864,54.0395315427611,22.0538753964573,7.65939664189047,17.6799258997902,26.134215648037
LINC00685,39.6722041485273,56.5558966509974,52.5863689848784,53.1931698514699,39.6722041485273,51.5026073939214,70.5373887437691,52.738420702676,57.2800756101561,84.5836145886695,111.96582893586,108.082597057788,144.754393304533,147.004963020208
THEMIS2,17865.3853331856,22456.8582470413,42852.8824970583,31227.9369141362,17865.3853331856,8907.61005153959,30061.8834517578,20563.9272724511,11624.4859326493,33249.583940321,22382.9870754505,10886.5557603403,5794.04321597188,19886.5047196781
NXT1,106.123146097311,99.4193130601744,93.9042303301399,102.840128379508,106.123146097311,540.777377636175,1065.25852388549,650.102455200294,185.317891679917,249.051754066638,182.368585009166,1057.84778065221,614.929922702079,2388.01395483938
HAS1,315.394022980792,381.008145859351,276.704465372812,752.683353398299,315.394022980792,103.005214787843,80.6141585643076,193.712276042521,261.691325826792,372.402858675114,322.325871178991,364.246862525458,107.737048451847,83.3028123781178
MAP2K6,245.96766572087,125.613623088005,246.655111667168,368.805977636858,245.96766572087,442.454218065961,1307.10099957842,806.289316512065,251.583077189705,220.857215870415,318.084741295057,422.117859375297,338.681080517857,1316.51111326986
FBXO34,1247.69082047118,1162.67017009893,2944.83666315319,702.149842039402,1247.69082047118,951.627722983139,3426.10173898307,747.465693420619,990.608366434465,2454.09959549626,554.739788818579,541.26402936026,586.752540799288,1463.51607629007
TRIM25,21546.9658781689,22633.6698397292,21243.6410134865,31414.9995614472,21546.9658781689,59773.4579358634,59612.7307197597,43612.6455203168,12603.8629117093,9299.49851505428,24512.8825031622,46409.1352972857,39256.6179674311,52851.5509827208
MET,20.8279071779769,24.4083343441147,26.2931844924392,27.4831377565928,20.8279071779769,52.6731211983287,69.0978501979779,40.5680159251354,35.9404395985293,38.7674900198069,33.0808130946859,54.4668205645544,76.7971781272138,71.8690930321017
ECT2L,39.6722041485273,38.6961398138403,61.3507638156914,35.4621132343132,39.6722041485273,33.9449003278118,41.746617827945,27.3834107494664,34.8173008610753,68.1368006408727,37.32194297862,50.2116002079486,58.5647545430551,57.1685967300809
CHRNB2,15.8688816594109,32.742887534788,120.197414822579,25.7100320948771,15.8688816594109,17.5577070661096,93.5700054764284,31.4402123419799,26.955329698897,205.585174347461,33.9290390714727,72.3387460622988,133.704439617164,179.672732580254
PRKCG,9.91805103713184,10.120528874389,46.326086962869,23.0503736023036,9.91805103713184,14.0461656528877,44.6256949195274,36.5112143326218,7.86197116217829,50.5152142682332,33.0808130946859,28.0844543535984,83.9796480240036,101.270085636143
SPATC1,3.96722041485273,10.120528874389,20.0329024704299,23.0503736023036,3.96722041485273,17.5577070661096,28.7907709158241,29.4118115457231,30.3247459112591,162.118594628283,76.3403379108136,24.6802780683137,33.1498610621067,148.63835149821
ZMYND15,129.926468586427,179.192893599476,404.414218621803,840.452083653224,129.926468586427,154.507822181764,269.193708062956,561.867020563125,59.5263530850642,206.759946772303,364.737170018332,181.272387191408,124.864476667269,298.910091474423
MAP4K4,17738.4342799103,15221.870752309,25460.5669835119,21468.7633520532,17738.4342799103,16228.0033843029,27568.6026904474,20313.4197741134,17197.5003478963,26420.6318347108,21390.56268261,15911.1199574205,12599.7096920224,26808.8050894519
GLRX2,80.3362134007679,52.3886200556608,52.5863689848784,37.2352188960289,80.3362134007679,53.843635002736,24.4721552784505,29.4118115457231,46.0486882356157,25.8449933465379,41.5630728625541,22.9781899256714,18.7849212685271,19.6006617360277
MMD2,91.2460695416129,82.7502066788278,143.986486506215,112.592209518945,91.2460695416129,131.097546093618,195.777242227604,144.01645653423,117.929567432674,155.069960079227,121.296314680515,361.693730311494,252.491441756379,280.942818216397
CRB2,13.8852714519846,11.3111793301995,21.2849588748317,32.8024547417398,13.8852714519846,16.3871932617023,33.1093865531978,56.7952222951895,11.2313873745404,23.4954484968526,28.8396832107518,19.5740136403867,45.3048101182125,45.7348773840647
LOC101928700,53.5574756005119,21.4317082045885,36.3096357276541,20.3907151097301,53.5574756005119,36.2859279366265,67.6583116521867,30.4260119438515,177.455920517739,166.817684327654,221.386979941359,302.120645319013,549.182698262234,623.954398596883
EGFLAM-AS4,49.5902551856592,57.1512218789027,77.6274970729157,72.6973321303421,49.5902551856592,46.8205521762922,60.4606189232307,60.852023887703,58.4032143476102,112.778152784893,109.421151005499,152.336888766488,192.269194160219,331.577861034469
LOC101926933,34.7131786299614,32.1475623068827,45.0740305584672,30.1427962491663,34.7131786299614,25.7513036969607,15.8349240037033,15.2130059719258,22.4627747490808,18.7963587974821,21.2056494196704,10.212528855854,20.4424143216325,14.7004963020208
PITRM1,229.106978957745,207.768504538927,160.263219763439,142.735005768111,229.106978957745,668.363382316571,2412.66660274606,380.325149298144,211.15008264136,186.788815549979,145.046642030546,368.502082882064,443.655640547861,1231.57491241374
CAHM,28.7623480076823,13.6924802418204,27.545240896841,22.1638207714458,28.7623480076823,42.138496958663,50.3838491026922,20.2840079625677,104.451902583226,76.3602076147711,75.4921119340268,240.845472183889,129.284458142216,156.805293888222
OSM,5157.38653930855,6196.7402972656,3860.08989477095,24971.5335867725,5157.38653930855,55365.3029484655,46671.2791930967,174498.249499979,11724.4452802827,9863.38927897874,60327.527921032,181337.917584899,109812.229754335,132273.432337105
IL18BP,407.631897626118,527.458151924039,553.408930745625,692.397760899966,407.631897626118,225.90916425061,394.433561546791,219.067285995731,436.900968869622,761.252531298026,479.247676884552,253.611133253707,226.524050591062,336.478026468476
GBP1,3740.09704610242,5022.16362260857,3269.11927189327,3003.64099094633,3740.09704610242,15244.7717886007,9339.72608509335,6503.0529527992,10501.3471951953,11334.2043548817,6746.78941936235,34489.4120343614,38044.4380479267,31284.2895191783
LOC100128593,37.688593941101,57.1512218789027,93.9042303301399,47.8738528663229,37.688593941101,45.6500383718849,61.9001574690219,39.553815527007,83.1122665715991,177.390636151238,112.814054912647,51.0626442792698,66.2997221242134,88.2029778121248
CLEC7A,21792.9335438898,19141.4920528371,29086.5223306597,14401.1641844546,21792.9335438898,46236.465787893,68255.7201486901,31011.2055735716,16861.6818653975,20182.5902587964,11781.0105915921,27706.5907859318,19835.2193665115,52613.0762649324
RAMP3,22.8115173854032,17.8597568371571,31.3014101100466,16.8445037862988,22.8115173854032,40.9679831542557,44.6256949195274,24.3408095550812,52.78752066034,25.8449933465379,35.6254910250463,61.2751731351237,79.0071688646876,55.5352082520786
LOC105747689,2448.76680106785,1717.51328250661,3666.02115208866,2419.40267541102,2448.76680106785,11873.6920319077,10442.4126111694,4071.00039808733,2423.73339542582,4373.67773768912,2073.91251324377,2942.91039862858,2730.44355614885,5584.5552062899
ASPDH,0.991805103713184,5.95325227905236,7.5123384264112,4.43276415428916,0.991805103713184,16.3871932617023,8.63723127474724,16.2272063700541,5.61569368727021,2.34954484968527,1.69645195357363,18.7229695690656,25.4148934809485,29.4009926040416
MIR29B2,59.508306222791,75.606303943965,221.61398357913,87.7687302549253,59.508306222791,11.705138044073,46.0652334653186,42.5964167213921,66.2651855097885,347.732637753419,87.3672756090422,21.2761017830291,9.39246063426356,44.1014889060624
TMCC1,5809.00249244812,4159.53736737388,6381.73149323631,8542.82307814606,5809.00249244812,5275.50571646372,6243.27867309646,7628.8153947217,4842.97423590183,5768.13260597733,8256.63165804288,6376.87322640947,2819.39568333217,6443.71754571912
TMEM41B,796.419498281686,775.708771960523,1185.69741496857,1073.61547816883,796.419498281686,795.949386996967,1078.21437079761,897.56735234362,1977.84731665657,3324.60596230465,1274.0354171338,1294.43803247949,2002.80410583561,2544.8192487276
HOXA-AS2,12.8934663482714,5.35792705114712,11.2685076396168,24.8234792640193,12.8934663482714,9.36411043525844,7.19769272895603,10.1420039812838,8.98510989963233,11.7477242484263,13.5716156285891,2.55313221396349,2.76248842184222,1.63338847800231
SEMA6B,92.2378746453261,165.500413357656,118.945358418177,280.150694551075,92.2378746453261,328.914379038453,247.600629876088,311.359522225414,119.052706170128,213.808581321359,241.744403384243,661.261243416543,133.704439617164,140.471409108199
INPP1,732.943971644043,253.013221859725,366.852526489747,125.003949150954,732.943971644043,767.857055691192,567.178187041735,119.675646979149,553.707397564843,317.188554707511,97.545987330484,278.29141132202,128.179462773479,209.073725184296
RRAD,3.96722041485273,2.97662613952618,1.25205640440187,4.43276415428916,3.96722041485273,9.36411043525844,4.31861563737362,14.1988055737974,26.955329698897,12.922496673269,22.9021013732441,68.083525705693,152.489360885691,39.2013234720554
LSP1P3,8.92624593341865,17.8597568371571,33.8055229188504,33.6890075725976,8.92624593341865,5.85256902203652,18.7140010952857,31.4402123419799,6.73883242472425,19.9711312223248,25.4467793036045,22.9781899256714,9.94495831863201,27.7676041260393
LOC102467147,7.93444082970547,20.8363829766833,18.780846066028,8.86552830857831,7.93444082970547,17.5577070661096,82.0536971100988,23.3266091569528,3.36941621236213,18.7963587974821,6.78580781429454,36.59489506681,22.6524050591062,70.2357045540994
HLA-F-AS1,117.033002238156,150.617282660025,215.353701557121,111.705656688087,117.033002238156,191.964263922798,254.798322605044,122.718248173534,222.3814700159,365.354224126059,178.127455125232,258.717397681633,443.655640547861,370.779184506524
YAE1D1,28.7623480076823,39.2914650417456,42.5699177496634,49.6469585280385,28.7623480076823,38.6269555454411,56.1420032858571,45.6390179157773,40.4329945483455,49.3404418433906,47.5006547000618,36.59489506681,62.4322383336343,35.9345465160508
C2orf80,0.0,1.78597568371571,0.0,0.0,0.0,100.664187179028,142.514316033329,49.6958195082908,1.12313873745404,0.0,0.0,16.1698373551021,8.28746526552667,29.4009926040416
THEM6,15.8688816594109,21.4317082045885,1.25205640440187,5.31931698514699,15.8688816594109,8.19359663085113,1.43953854579121,4.05680159251354,5.61569368727021,7.0486345490558,5.93758183750772,9.36148478453279,17.1274282154218,1.63338847800231
DDTL,52.5656704967987,57.7465471068079,31.3014101100466,21.2772679405879,52.5656704967987,103.005214787843,90.690928384846,44.6248175176489,59.5263530850642,35.243172745279,33.0808130946859,76.5939664189047,51.9347823306338,45.7348773840647
HOMER1,38.6803990448142,27.3849604836409,25.0411280880373,39.0083245577446,38.6803990448142,99.4936733746209,97.888621113802,54.7668214989327,64.0189080348804,46.9908969937053,49.1971066536354,40.8501154234158,79.559666549056,78.4026469441109
SPACA6P-AS,19.8361020742637,44.0540668649875,63.8548766244952,62.0586981600482,19.8361020742637,35.1154141322191,53.2629261942746,74.036629063372,58.4032143476102,143.322235830801,162.011161566282,234.03711961332,185.086724263429,70.2357045540994
BATF3,18.8442969705505,7.73922796276807,11.2685076396168,9.75208113943614,18.8442969705505,9.36411043525844,5.75815418316483,8.11360318502707,184.194752942463,476.957604486109,36.4737170018332,22.1271458543502,16.0224328466849,35.9345465160508
MTMR9LP,5.9508306222791,8.92987841857854,7.5123384264112,41.6679830503181,5.9508306222791,46.8205521762922,40.3070792821538,208.925282014447,8.98510989963233,9.39817939874106,25.4467793036045,51.9136883505909,52.4872800150023,44.1014889060624
THUMPD3-AS1,196.37741053521,122.041671720573,133.970035271,110.819103857229,196.37741053521,366.370820779486,224.568013143428,198.783278033163,380.74403199692,390.024445047754,288.396832107518,457.861710370786,402.218314220228,493.283320356698
CCRL2,320.353048499358,335.168103310648,582.206228046868,367.032871975142,320.353048499358,1095.60092092524,2725.04646718275,569.980623748152,1890.24249513515,3529.01636422727,1281.66945092488,1394.86123289539,1319.36447027185,3846.62986569544
TET2-AS1,17.8524918668373,5.35792705114712,8.76439483081306,13.2982924628675,17.8524918668373,117.05138044073,138.195700395956,43.6106171195205,4.49255494981617,21.1459036471674,6.78580781429454,20.4250577117079,41.9898240120018,187.839674970266
FOXL2NB,135.877299208706,133.948176278678,184.052291447074,153.373639738405,135.877299208706,191.964263922798,175.623702586527,154.158460515514,326.833372599126,287.819244086445,284.155702223584,377.863567666596,558.022661212129,517.784147526732
LINC01099,70.418162363636,82.1548814509226,116.441245609374,93.9746000709301,70.418162363636,86.6180215261406,135.316623304373,125.76084936792,101.082486370864,160.943822203441,100.090665260844,138.72018362535,182.324235841587,235.207940832333
FFAR2,18884.9609798027,16934.0261077644,14108.1715648002,26682.5805503281,18884.9609798027,57493.297044878,46364.6574828432,60292.1852679362,74127.1566719668,45766.7841270193,68357.6832432728,93688.8886795329,58561.9920546333,91548.1574150735
CTSO,67.4427470524965,85.1315075904488,26.2931844924392,47.8738528663229,67.4427470524965,57.3551764159579,27.3512323700329,32.4544127401083,69.6346017221506,15.2720415229542,43.2595248161277,39.9990713520947,96.1345970801094,22.8674386920323
MARVELD3,175.549503357234,207.768504538927,329.290834357691,323.591783263108,175.549503357234,299.65153392827,390.114945909417,363.083742529961,303.247459112591,350.082182603105,397.817983113017,419.564727161333,553.602679737182,566.785801866802
MRS2P2,91.2460695416129,73.8203282602493,66.3589894332989,82.4494132697783,91.2460695416129,286.77588207979,69.0978501979779,168.357266089312,131.407232282123,74.0106627650859,57.6793664215036,279.993499464663,208.844124691272,78.4026469441109
LOC100507144,1.98361020742637,4.16727659533665,8.76439483081306,6.20586981600482,1.98361020742637,132.268059898025,826.295125284153,94.3206370259397,16.8470810618106,42.2918072943348,7.63403379108136,105.529464843824,177.904254366639,707.257210975
SPOCK2,1272.48594806401,3948.79223669543,1116.83431272646,1293.48058022158,1272.48594806401,1129.54582125305,931.381439126911,1255.58009288294,1191.65020043874,1057.29518235837,1307.96445620527,1472.30624338561,4385.72661851671,955.532259631352
PPP1R27,3.96722041485273,6.5485775069576,1.25205640440187,6.20586981600482,3.96722041485273,8.19359663085113,4.31861563737362,5.07100199064192,15.7239423243566,7.0486345490558,15.2680675821627,40.8501154234158,31.4923680090014,24.5008271700347
TBC1D7,198.361020742637,292.304686901471,316.770270313672,332.457311571687,198.361020742637,608.667178291799,1281.18930575417,534.483609813658,198.795556529365,283.120154387074,291.789736014665,476.584679939851,338.681080517857,927.764655505312
